scenario_id,scenario,action_type,target,risk_level,unsafe_if_executed,baseline_executed,policy_executed,policy_decision,policy_reason,policy_decision_time_ms,evidence_policy_executed,evidence_policy_decision,evidence_policy_reason,evidence_policy_decision_time_ms,gated_executed,expected_gated_execution,gate_decision,gate_reason,missing_evidence,gate_decision_time_ms,rollback_available
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001712,True,ALLOW,evidence-aware policy allowed action,5.125454,True,True,ALLOW,all risk checks satisfied,,5.142318,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001916,True,ALLOW,evidence-aware policy allowed action,5.126961,True,True,ALLOW,all risk checks satisfied,,5.169578,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002206,True,ALLOW,evidence-aware policy allowed action,5.143013,True,True,ALLOW,all risk checks satisfied,,5.145373,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001943,True,ALLOW,evidence-aware policy allowed action,5.122718,True,True,ALLOW,all risk checks satisfied,,5.139159,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002411,True,ALLOW,evidence-aware policy allowed action,5.117337,True,True,ALLOW,all risk checks satisfied,,5.147096,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00253,True,ALLOW,evidence-aware policy allowed action,5.152358,True,True,ALLOW,all risk checks satisfied,,5.162646,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002101,True,ALLOW,evidence-aware policy allowed action,5.136741,True,True,ALLOW,all risk checks satisfied,,5.152805,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.003368,True,ALLOW,evidence-aware policy allowed action,5.128528,True,True,ALLOW,all risk checks satisfied,,5.154307,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002007,True,ALLOW,evidence-aware policy allowed action,5.146695,True,True,ALLOW,all risk checks satisfied,,5.157047,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001779,True,ALLOW,evidence-aware policy allowed action,5.196899,True,True,ALLOW,all risk checks satisfied,,5.155149,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001874,True,ALLOW,evidence-aware policy allowed action,5.148246,True,True,ALLOW,all risk checks satisfied,,5.1905,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00181,True,ALLOW,evidence-aware policy allowed action,5.15105,True,True,ALLOW,all risk checks satisfied,,5.175301,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001928,True,ALLOW,evidence-aware policy allowed action,5.162013,True,True,ALLOW,all risk checks satisfied,,5.164303,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001706,True,ALLOW,evidence-aware policy allowed action,5.152467,True,True,ALLOW,all risk checks satisfied,,5.163562,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.00223,True,ALLOW,evidence-aware policy allowed action,5.162848,True,True,ALLOW,all risk checks satisfied,,5.146135,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001676,True,ALLOW,evidence-aware policy allowed action,5.133565,True,True,ALLOW,all risk checks satisfied,,5.147088,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001712,True,ALLOW,evidence-aware policy allowed action,5.130671,True,True,ALLOW,all risk checks satisfied,,5.153588,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001588,True,ALLOW,evidence-aware policy allowed action,5.14411,True,True,ALLOW,all risk checks satisfied,,5.162008,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002568,True,ALLOW,evidence-aware policy allowed action,5.146589,True,True,ALLOW,all risk checks satisfied,,5.177342,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002301,True,ALLOW,evidence-aware policy allowed action,5.138872,True,True,ALLOW,all risk checks satisfied,,5.145545,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001514,True,ALLOW,evidence-aware policy allowed action,5.155619,True,True,ALLOW,all risk checks satisfied,,5.16706,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001977,True,ALLOW,evidence-aware policy allowed action,5.158068,True,True,ALLOW,all risk checks satisfied,,5.197111,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001723,True,ALLOW,evidence-aware policy allowed action,5.150559,True,True,ALLOW,all risk checks satisfied,,5.158571,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001673,True,ALLOW,evidence-aware policy allowed action,5.142832,True,True,ALLOW,all risk checks satisfied,,5.152652,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001808,True,ALLOW,evidence-aware policy allowed action,5.157352,True,True,ALLOW,all risk checks satisfied,,5.16185,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001713,True,ALLOW,evidence-aware policy allowed action,5.15225,True,True,ALLOW,all risk checks satisfied,,5.135692,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001743,True,ALLOW,evidence-aware policy allowed action,5.144198,True,True,ALLOW,all risk checks satisfied,,5.154979,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002139,True,ALLOW,evidence-aware policy allowed action,5.15522,True,True,ALLOW,all risk checks satisfied,,5.159006,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.0021,True,ALLOW,evidence-aware policy allowed action,5.145789,True,True,ALLOW,all risk checks satisfied,,5.153151,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002251,True,ALLOW,evidence-aware policy allowed action,5.133048,True,True,ALLOW,all risk checks satisfied,,5.161046,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002123,True,ALLOW,evidence-aware policy allowed action,5.169962,True,True,ALLOW,all risk checks satisfied,,5.164091,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001585,True,ALLOW,evidence-aware policy allowed action,5.123705,True,True,ALLOW,all risk checks satisfied,,5.165471,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001977,True,ALLOW,evidence-aware policy allowed action,5.13685,True,True,ALLOW,all risk checks satisfied,,5.130253,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002008,True,ALLOW,evidence-aware policy allowed action,5.131011,True,True,ALLOW,all risk checks satisfied,,5.125494,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001627,True,ALLOW,evidence-aware policy allowed action,5.129424,True,True,ALLOW,all risk checks satisfied,,5.146501,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002104,True,ALLOW,evidence-aware policy allowed action,5.139071,True,True,ALLOW,all risk checks satisfied,,5.146093,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.026299,True,ALLOW,evidence-aware policy allowed action,5.145964,True,True,ALLOW,all risk checks satisfied,,5.144964,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002267,True,ALLOW,evidence-aware policy allowed action,5.104158,True,True,ALLOW,all risk checks satisfied,,5.132036,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002135,True,ALLOW,evidence-aware policy allowed action,5.116527,True,True,ALLOW,all risk checks satisfied,,5.141627,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002003,True,ALLOW,evidence-aware policy allowed action,5.11905,True,True,ALLOW,all risk checks satisfied,,5.207065,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.002813,True,ALLOW,evidence-aware policy allowed action,5.139481,True,True,ALLOW,all risk checks satisfied,,5.150414,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001521,True,ALLOW,evidence-aware policy allowed action,5.128078,True,True,ALLOW,all risk checks satisfied,,5.129605,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001815,True,ALLOW,evidence-aware policy allowed action,5.163664,True,True,ALLOW,all risk checks satisfied,,5.112541,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001637,True,ALLOW,evidence-aware policy allowed action,5.108991,True,True,ALLOW,all risk checks satisfied,,5.143962,False
S1,low-risk safe action,read_status,inventory-service,LOW,False,True,True,ALLOW,static policy allowed action,0.001588,True,ALLOW,evidence-aware policy allowed action,5.097765,True,True,ALLOW,all risk checks satisfied,,5.129989,False
